기준일자,상품명,당일신규실행건수,당일신규실행금액(억원)
2019-04-15,취업후상환학자금_등록금,0,0
2019-04-16,취업후상환학자금_생활비,1639,13
2019-04-16,일반상환학자금_등록금,149,4
2019-04-16,취업후상환학자금_등록금,220,6
2019-04-16,일반상환학자금_생활비,784,7
2019-04-17,취업후상환학자금_등록금,260,7
2019-04-17,일반상환학자금_생활비,701,6
2019-04-17,일반상환학자금_등록금,178,5
2019-04-17,취업후상환학자금_생활비,1283,10
2019-04-18,취업후상환학자금_생활비,1436,13
2019-04-18,취업후상환학자금_등록금,344,10
2019-04-18,일반상환학자금_등록금,257,8
2019-04-18,일반상환학자금_생활비,724,7
2019-04-19,취업후상환학자금_등록금,98,3
2019-04-19,일반상환학자금_생활비,1337,15
2019-04-19,일반상환학자금_등록금,19,0
2019-04-19,취업후상환학자금_생활비,1315,11
2019-04-20,취업후상환학자금_생활비,1797,15
2019-04-20,취업후상환학자금_등록금,368,8
2019-04-20,일반상환학자금_생활비,995,9
2019-04-20,일반상환학자금_등록금,21,0
2019-04-21,일반상환학자금_등록금,0,0
2019-04-21,일반상환학자금_생활비,0,0
2019-04-21,취업후상환학자금_등록금,0,0
2019-04-21,취업후상환학자금_생활비,0,0
2019-04-22,취업후상환학자금_생활비,0,0
2019-04-22,취업후상환학자금_등록금,0,0
2019-04-22,일반상환학자금_등록금,0,0
2019-04-22,일반상환학자금_생활비,0,0
2019-04-23,취업후상환학자금_생활비,1775,15
2019-04-23,취업후상환학자금_등록금,189,4
2019-04-23,일반상환학자금_생활비,898,8
2019-04-23,일반상환학자금_등록금,11,0
2019-04-24,취업후상환학자금_등록금,156,4
2019-04-24,일반상환학자금_생활비,720,6
2019-04-24,일반상환학자금_등록금,6,0
2019-04-24,취업후상환학자금_생활비,1390,11
2019-04-25,일반상환학자금_생활비,646,5
2019-04-25,취업후상환학자금_생활비,1252,10
2019-04-25,취업후상환학자금_등록금,149,3
2019-04-25,일반상환학자금_등록금,11,0
2019-04-26,취업후상환학자금_등록금,149,3
2019-04-26,일반상환학자금_생활비,765,7
2019-04-26,일반상환학자금_등록금,7,0
2019-04-26,취업후상환학자금_생활비,1367,11
2019-04-27,일반상환학자금_등록금,3,0
2019-04-27,일반상환학자금_생활비,892,8
2019-04-27,취업후상환학자금_등록금,167,4
2019-04-27,취업후상환학자금_생활비,1829,14
2019-04-28,취업후상환학자금_등록금,0,0
2019-04-28,일반상환학자금_생활비,0,0
2019-04-28,일반상환학자금_등록금,0,0
2019-04-28,취업후상환학자금_생활비,0,0
2019-04-29,취업후상환학자금_생활비,0,0
2019-04-29,취업후상환학자금_등록금,0,0
2019-04-29,일반상환학자금_생활비,0,0
2019-04-29,일반상환학자금_등록금,0,0
2019-04-30,일반상환학자금_등록금,1,0
2019-04-30,취업후상환학자금_생활비,1975,16
2019-04-30,취업후상환학자금_등록금,144,3
2019-04-30,일반상환학자금_생활비,954,8
2019-05-01,취업후상환학자금_등록금,126,3
2019-05-01,일반상환학자금_생활비,863,8
2019-05-01,일반상환학자금_등록금,4,0
2019-05-01,취업후상환학자금_생활비,1679,14
2019-05-02,일반상환학자금_생활비,0,0
2019-05-02,취업후상환학자금_생활비,0,0
2019-05-02,취업후상환학자금_등록금,0,0
2019-05-02,일반상환학자금_등록금,0,0
2019-05-03,취업후상환학자금_등록금,318,7
2019-05-03,일반상환학자금_등록금,10,0
2019-05-03,일반상환학자금_생활비,1028,9
2019-05-03,취업후상환학자금_생활비,2445,21
2019-05-04,일반상환학자금_등록금,9,0
2019-05-04,취업후상환학자금_생활비,2465,21
2019-05-04,취업후상환학자금_등록금,298,6
2019-05-04,일반상환학자금_생활비,1033,10
2019-05-05,일반상환학자금_등록금,0,0
2019-05-05,취업후상환학자금_등록금,0,0
2019-05-05,일반상환학자금_생활비,0,0
2019-05-05,취업후상환학자금_생활비,0,0
2019-05-06,일반상환학자금_등록금,0,0
2019-05-06,일반상환학자금_생활비,0,0
2019-05-06,취업후상환학자금_등록금,0,0
