"구분별","상태별","시점","인원[명]",
"남성","신규","2020. 07. 21","25",
"남성","신규","2020. 07. 22","39",
"남성","신규","2020. 07. 23","39",
"남성","신규","2020. 07. 24","23",
"남성","신규","2020. 07. 25","96",
"남성","신규","2020. 07. 26","49",
"남성","신규","2020. 07. 27","12",
"남성","신규","2020. 07. 28","22",
"남성","신규","2020. 07. 29","32",
"남성","신규","2020. 07. 30","13",
"남성","신규","2020. 07. 31","24",
"남성","신규","2020. 08. 01","23",
"남성","신규","2020. 08. 02","21",
"남성","신규","2020. 08. 03","15",
"남성","신규","2020. 08. 04","23",
"남성","신규","2020. 08. 05","23",
"남성","신규","2020. 08. 06","34",
"남성","신규","2020. 08. 07","13",
"남성","신규","2020. 08. 08","23",
"남성","신규","2020. 08. 09","17",
"남성","신규","2020. 08. 10","14",
"남성","신규","2020. 08. 11","20",
"남성","신규","2020. 08. 12","34",
"남성","신규","2020. 08. 13","31",
"남성","신규","2020. 08. 14","51",
"남성","신규","2020. 08. 15","70",
"남성","신규","2020. 08. 16","102",
"남성","신규","2020. 08. 17","75",
"남성","신규","2020. 08. 18","90",
"남성","신규","2020. 08. 19","109",
"남성","신규","2020. 08. 20","133",
"남성","신규","2020. 08. 21","148",
"남성","신규","2020. 08. 22","145",
"남성","신규","2020. 08. 23","157",
"남성","신규","2020. 08. 24","118",
"남성","신규","2020. 08. 25","137",
"남성","신규","2020. 08. 26","145",
"남성","신규","2020. 08. 27","207",
"남성","신규","2020. 08. 28","175",
"남성","신규","2020. 08. 29","141",
"남성","신규","2020. 08. 30","154",
"남성","신규","2020. 08. 31","114",
"남성","신규","2020. 09. 01","114",
"남성","신규","2020. 09. 02","133",
"남성","신규","2020. 09. 03","87",
"남성","신규","2020. 09. 04","94",
"남성","신규","2020. 09. 05","82",
"남성","신규","2020. 09. 06","79",
"남성","신규","2020. 09. 07","66",
"남성","신규","2020. 09. 08","73",
"남성","신규","2020. 09. 09","76",
"남성","신규","2020. 09. 10","76",
"남성","신규","2020. 09. 11","77",
"남성","신규","2020. 09. 12","81",
"남성","신규","2020. 09. 13","0",
"남성","신규","2020. 09. 14","114",
"남성","신규","2020. 09. 15","48",
"남성","신규","2020. 09. 16","67",
"남성","신규","2020. 09. 17","74",
"남성","신규","2020. 09. 18","57",
"남성","신규","2020. 09. 19","45",
"남성","신규","2020. 09. 20","0",
"남성","신규","2020. 09. 21","84",
"남성","신규","2020. 09. 22","37",
"남성","신규","2020. 09. 23","59",
"남성","신규","2020. 09. 24","65",
"남성","신규","2020. 09. 25","54",
"남성","신규","2020. 09. 26","25",
"남성","신규","2020. 09. 27","42",
"남성","신규","2020. 09. 28","26",
"남성","신규","2020. 09. 29","27",
"남성","신규","2020. 09. 30","77",
"남성","신규","2020. 10. 01","43",
"남성","신규","2020. 10. 02","38",
"남성","신규","2020. 10. 03","47",
"남성","신규","2020. 10. 04","40",
"남성","신규","2020. 10. 05","47",
"남성","신규","2020. 10. 06","50",
"남성","신규","2020. 10. 07","53",
"남성","신규","2020. 10. 08","39",
"남성","신규","2020. 10. 10","",
"남성","신규","2020. 10. 11","34",
"남성","신규","2020. 10. 12","56",
"남성","신규","2020. 10. 13","64",
"남성","신규","2020. 10. 14","51",
"남성","신규","2020. 10. 15","21",
"남성","신규","2020. 10. 16","21",
"남성","신규","2020. 10. 17","26",
"남성","신규","2020. 10. 18","49",
"남성","신규","2020. 10. 19","34",
"남성","신규","2020. 10. 20","38",
"남성","신규","2020. 10. 21","47",
"남성","신규","2020. 10. 22","59",
"남성","신규","2020. 10. 23","73",
"남성","신규","2020. 10. 24","41",
"남성","신규","2020. 10. 25","26",
"남성","신규","2020. 10. 26","51",
"남성","신규","2020. 10. 27","41",
"남성","신규","2020. 10. 28","46",
"남성","신규","2020. 10. 29","68",
"남성","신규","2020. 10. 30","54",
"남성","신규","2020. 10. 31","63",
"남성","신규","2020. 11. 01","60",
"남성","신규","2020. 11. 02","48",
"남성","신규","2020. 11. 03","43",
"남성","신규","2020. 11. 04","61",
"남성","신규","2020. 11. 05","63",
"남성","신규","2020. 11. 06","74",
"남성","신규","2020. 11. 07","50",
"남성","신규","2020. 11. 08","76",
"남성","신규","2020. 11. 09","57",
"남성","신규","2020. 11. 10","56",
"남성","신규","2020. 11. 11","68",
"남성","신규","2020. 11. 12","77",
"남성","신규","2020. 11. 13","91",
"남성","신규","2020. 11. 14","105",
"남성","신규","2020. 11. 15","100",
"남성","신규","2020. 11. 16","118",
"남성","신규","2020. 11. 17","117",
"남성","신규","2020. 11. 18","184",
"남성","신규","2020. 11. 19","181",
"남성","신규","2020. 11. 20","191",
"남성","신규","2020. 11. 21","210",
"남성","신규","2020. 11. 22","173",
"남성","신규","2020. 11. 23","128",
"남성","신규","2020. 11. 24","190",
"남성","신규","2020. 11. 25","206",
"남성","신규","2020. 11. 26","297",
"남성","신규","2020. 11. 27","312",
"남성","신규","2020. 11. 28","246",
"남성","신규","2020. 11. 29","233",
"남성","신규","2020. 11. 30","156",
"남성","신규","2020. 12. 01","234",
"남성","신규","2020. 12. 02","262",
"남성","신규","2020. 12. 03","273",
"남성","신규","2020. 12. 04","288",
"남성","신규","2020. 12. 05","288",
"남성","신규","2020. 12. 06","339",
"남성","신규","2020. 12. 07","298",
"남성","신규","2020. 12. 08","274",
"남성","신규","2020. 12. 09","335",
"남성","신규","2020. 12. 10","343",
"남성","신규","2020. 12. 11","336",
"남성","신규","2020. 12. 12","436",
"남성","신규","2020. 12. 13","484",
"남성","신규","2020. 12. 14","330",
"남성","신규","2020. 12. 15","415",
"남성","신규","2020. 12. 16","556",
"남성","신규","2020. 12. 17","473",
"남성","신규","2020. 12. 18","484",
"남성","신규","2020. 12. 19","474",
"남성","신규","2020. 12. 20","623",
"남성","신규","2020. 12. 21","461",
"남성","신규","2020. 12. 22","423",
"남성","신규","2020. 12. 24","",
"남성","신규","2020. 12. 25","770",
"남성","신규","2020. 12. 26","565",
"남성","신규","2020. 12. 27","471",
"남성","신규","2020. 12. 28","395",
"남성","신규","2020. 12. 29","621",
"남성","신규","2020. 12. 30","520",
"남성","신규","2020. 12. 31","505",
"남성","신규","2021. 01. 01","557",
"남성","신규","2021. 01. 02","422",
"남성","신규","2021. 01. 03","296",
"남성","신규","2021. 01. 04","536",
"남성","신규","2021. 01. 05","356",
"남성","신규","2021. 01. 06","406",
"남성","신규","2021. 01. 07","458",
"남성","신규","2021. 01. 08","319",
"남성","신규","2021. 01. 09","322",
"남성","신규","2021. 01. 10","343",
"남성","신규","2021. 01. 11","240",
"남성","신규","2021. 01. 12","268",
"남성","신규","2021. 01. 13","276",
"남성","신규","2021. 01. 14","266",
"남성","신규","2021. 01. 15","260",
"남성","신규","2021. 01. 16","279",
"남성","신규","2021. 01. 17","255",
"남성","신규","2021. 01. 18","194",
"남성","신규","2021. 01. 19","196",
"남성","신규","2021. 01. 20","201",
"남성","신규","2021. 01. 21","184",
"남성","신규","2021. 01. 22","166",
"남성","신규","2021. 01. 23","207",
"남성","신규","2021. 01. 24","198",
"남성","신규","2021. 01. 25","234",
"남성","신규","2021. 01. 26","157",
"남성","신규","2021. 01. 27","273",
"남성","신규","2021. 01. 28","274",
"남성","신규","2021. 01. 29","215",
"남성","신규","2021. 01. 30","222",
"남성","신규","2021. 01. 31","183",
"남성","신규","2021. 02. 01","147",
"남성","신규","2021. 02. 02","187",
"남성","신규","2021. 02. 03","252",
"남성","신규","2021. 02. 04","211",
"남성","신규","2021. 02. 05","185",
"남성","신규","2021. 02. 06","199",
"남성","신규","2021. 02. 07","216",
"남성","신규","2021. 02. 08","153",
"남성","신규","2021. 02. 09","157",
"여성","신규","2020. 04. 09","17",
"여성","신규","2020. 04. 10","12",
"여성","신규","2020. 04. 11","15",
"여성","신규","2020. 04. 12","18",
"여성","신규","2020. 04. 13","11",
"여성","신규","2020. 04. 14","14",
